idSorteo,fecha,tipo,ganador,nuevo,n1,n2,n3,n4,n5,sb
1814,05/09/2018,Tr,NO,SI,04,22,26,29,36,13
1814,05/09/2018,Re,NO,SI,12,14,16,25,28,15
1813,01/09/2018,Tr,NO,SI,03,08,10,15,39,09
1813,01/09/2018,Re,NO,SI,05,16,25,39,41,09
1812,29/08/2018,Tr,NO,SI,17,27,37,38,40,03
1812,29/08/2018,Re,NO,SI,03,06,09,24,30,02
1811,25/08/2018,Tr,NO,SI,03,22,26,29,36,07
1811,25/08/2018,Re,NO,SI,04,16,18,22,27,13
1810,22/08/2018,Tr,NO,SI,10,12,34,35,36,09
1810,22/08/2018,Re,NO,SI,11,12,17,27,41,13
1809,18/08/2018,Tr,NO,SI,06,12,16,21,33,05
1809,18/08/2018,Re,NO,SI,07,25,31,33,41,08
1808,15/08/2018,Tr,NO,SI,01,12,20,39,41,13
1808,15/08/2018,Re,NO,SI,06,19,30,34,35,09
1807,11/08/2018,Tr,NO,SI,02,03,22,28,37,08
1807,11/08/2018,Re,NO,SI,24,33,35,36,41,05
1806,08/08/2018,Tr,NO,SI,05,33,34,41,43,07
1806,08/08/2018,Re,NO,SI,03,09,29,31,41,05
1805,04/08/2018,Tr,NO,SI,06,16,20,24,30,11
1805,04/08/2018,Re,NO,SI,03,18,23,28,43,15
1804,01/08/2018,Tr,NO,SI,02,05,09,11,42,09
1804,01/08/2018,Re,NO,SI,07,08,17,32,37,04
1803,28/07/2018,Tr,NO,SI,02,11,26,33,40,15
1803,28/07/2018,Re,NO,SI,02,08,19,23,37,01
1802,25/07/2018,Tr,NO,SI,02,13,25,36,43,15
1802,25/07/2018,Re,NO,SI,13,15,24,29,30,11
1801,21/07/2018,Tr,NO,SI,12,25,32,33,41,10
1801,21/07/2018,Re,NO,SI,05,15,21,22,39,11
1800,18/07/2018,Tr,NO,SI,21,32,33,34,37,11
1800,18/07/2018,Re,NO,SI,16,23,25,26,36,16
1799,14/07/2018,Tr,NO,SI,04,13,14,16,33,05
1799,14/07/2018,Re,NO,SI,01,05,13,22,23,12
1798,11/07/2018,Tr,NO,SI,06,17,31,32,41,13
1798,11/07/2018,Re,NO,SI,03,07,10,13,21,15
1797,07/07/2018,Tr,NO,SI,08,11,22,35,41,10
