idSorteo,fecha,tipo,ganador,nuevo,n1,n2,n3,n4,n5,sb
1876,10/04/2019,Tr,NO,SI,15,18,24,34,39,04
1876,10/04/2019,Re,NO,SI,05,07,08,14,28,09
1877,13/04/2019,Tr,NO,SI,06,07,08,27,34,14
1877,13/04/2019,Re,NO,SI,04,18,22,34,41,10
1878,17/04/2019,Tr,NO,SI,03,04,31,34,43,14
1878,17/04/2019,Re,NO,SI,02,09,15,30,32,08
1879,20/04/2019,Tr,NO,SI,10,17,24,29,43,14
1879,20/04/2019,Re,NO,SI,01,12,13,19,27,04
1880,24/04/2019,Tr,NO,SI,04,08,32,34,40,04
1880,24/04/2019,Re,NO,SI,12,13,14,31,35,09
1881,27/04/2019,Tr,NO,SI,01,13,32,37,43,10
1881,27/04/2019,Re,NO,SI,02,15,30,37,38,13
1882,01/05/2019,Tr,NO,SI,01,04,08,19,27,05
1882,01/05/2019,Re,NO,SI,09,15,24,31,36,03
1883,04/05/2019,Tr,NO,SI,04,11,12,16,26,02
1883,04/05/2019,Re,NO,SI,09,11,31,35,36,10
1884,08/05/2019,Tr,NO,SI,01,04,21,30,43,15
1884,08/05/2019,Re,NO,SI,11,15,23,26,39,03
1885,11/05/2019,Tr,NO,SI,03,11,27,39,41,04
1885,11/05/2019,Re,NO,SI,13,19,28,39,42,15
1886,15/05/2019,Tr,NO,SI,03,17,25,39,42,04
1886,15/05/2019,Re,NO,SI,14,22,23,31,38,09
1887,18/05/2019,Tr,NO,SI,03,04,20,25,37,12
1887,18/05/2019,Re,NO,SI,13,26,33,35,40,13
1888,22/05/2019,Tr,NO,SI,09,16,20,28,37,05
1888,22/05/2019,Re,NO,SI,03,18,24,34,36,04
